City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
163,Kedrovyy,RU,56.1667,91.8167,30.61,93,100,6.02,overcast clouds
164,Chapais,CA,49.7834,-74.8492,55.18,60,98,7.4,overcast clouds
165,Boysun,UZ,38.2061,67.1986,68.4,16,0,8.72,clear sky
166,Troitsko-Pechorsk,RU,62.7084,56.1964,39.4,67,100,7.85,overcast clouds
167,Ous,RU,60.9058,61.5186,34.07,80,100,7.23,overcast clouds
168,Batticaloa,LK,7.7102,81.6924,82.4,77,100,4.52,overcast clouds
169,Leningradskiy,RU,69.3833,178.4167,22.24,80,94,8.72,overcast clouds
170,Vetluzhskiy,RU,58.3902,45.4654,46.67,96,100,6.85,overcast clouds
171,Ahipara,NZ,-35.1667,173.1667,50.94,83,99,7.29,overcast clouds
172,Kaeo,NZ,-35.1,173.7833,51.33,93,100,4.7,overcast clouds
173,Le Port,RE,-20.9373,55.2919,71.6,76,64,4.74,broken clouds
174,Miri,MY,4.4148,114.0089,77.14,94,40,4.61,scattered clouds
175,East London,ZA,-33.0153,27.9116,67.57,77,69,14.41,broken clouds
176,Touros,BR,-5.1989,-35.4608,83.3,71,5,19.1,clear sky
177,San Jose,US,37.3394,-121.895,77.7,54,75,9.22,smoke
178,Ancud,CL,-41.8697,-73.8203,51.33,62,29,9.13,scattered clouds
179,Silifke,TR,36.3778,33.9344,77.83,39,0,5.06,clear sky
180,Belaya Kalitva,RU,48.17,40.78,52.16,68,0,14.74,clear sky
181,Yumen,CN,40.2833,97.2,60.22,28,52,4.68,broken clouds
182,Cidreira,BR,-30.1811,-50.2056,68.23,79,2,7.11,clear sky
183,Ilulissat,GL,69.2167,-51.1,21.22,49,0,4.61,clear sky
184,Vaini,TO,-21.2,-175.2,69.96,88,75,2.3,broken clouds
185,Sept-Iles,CA,50.2001,-66.3821,58.24,98,90,13.0,fog
186,Wencheng,CN,33.0559,113.7978,66.29,92,97,4.36,light rain
187,Riviere-Au-Renard,CA,48.9957,-64.3971,61.09,99,100,11.25,overcast clouds
188,Halifax,CA,44.6453,-63.5724,69.1,96,94,10.0,overcast clouds
189,Kichera,RU,55.9375,110.0997,34.16,92,99,1.52,overcast clouds
190,Pimentel,PE,-6.8367,-79.9342,70.09,68,0,8.05,clear sky
191,Sao Sebastiao Do Paraiso,BR,-20.9169,-46.9914,84.78,31,68,4.03,broken clouds
192,Labuhan,ID,-6.8844,112.2051,77.2,85,24,8.03,few clouds
193,Saint-Joseph,RE,-21.3667,55.6167,70.18,84,46,13.27,light rain
194,Saint Anthony,US,45.0205,-93.218,82.33,50,1,1.01,clear sky
195,Patos,BR,-7.0244,-37.28,93.4,30,96,23.55,overcast clouds
196,Winnemucca,US,40.973,-117.7357,82.45,13,1,10.36,clear sky
197,Mar Del Plata,AR,-38.0023,-57.5575,58.08,64,75,8.99,broken clouds
198,Bacolod,PH,10.6667,122.95,77.43,86,90,1.95,overcast clouds
199,Mahebourg,MU,-20.4081,57.7,70.25,94,75,12.66,light rain
200,Drayton Valley,CA,53.2168,-114.9854,61.92,57,100,4.27,overcast clouds
201,Palu,ID,-0.8917,119.8707,75.42,97,99,2.95,overcast clouds
202,Acapulco,MX,16.8634,-99.8901,85.98,68,99,6.04,overcast clouds
203,Bambanglipuro,ID,-7.95,110.2833,76.98,85,99,10.56,overcast clouds
204,Simao,CN,22.7886,100.9748,61.97,97,19,1.81,few clouds
205,Victoria,HK,22.2855,114.1577,84.33,80,8,3.0,light rain
206,Alice Springs,AU,-23.7,133.8833,65.75,19,3,9.22,clear sky
207,Turukhansk,RU,65.8167,87.9833,34.14,84,32,5.37,scattered clouds
208,Rio Grande,BR,-32.035,-52.0986,71.71,75,4,7.63,clear sky
209,Port Lincoln,AU,-34.7333,135.8667,55.33,69,78,12.06,broken clouds
210,Nadym,RU,65.5333,72.5167,32.38,82,0,4.88,clear sky
211,Lensk,RU,60.7253,114.9278,34.32,99,100,6.91,light rain
212,Klaksvik,FO,62.2266,-6.589,50.92,84,100,19.66,overcast clouds
213,Mokhotlong,LS,-29.2894,29.0675,60.87,57,23,9.17,few clouds
214,Cherskiy,RU,68.75,161.3,32.49,99,100,19.89,snow
215,Zdunska Wola,PL,51.5992,18.9397,59.25,90,12,1.01,few clouds
216,Pevek,RU,69.7008,170.3133,30.51,96,100,15.99,light snow
217,Yulara,AU,-25.2406,130.9889,67.84,21,27,0.0,scattered clouds
218,Nelson Bay,AU,-32.7167,152.15,53.96,91,7,8.77,clear sky
219,Zamosc,PL,50.7231,23.252,49.84,81,24,7.54,few clouds
220,Semirom,IR,31.4167,51.5667,59.7,22,0,4.18,clear sky
221,Fortuna,US,40.5982,-124.1573,66.92,66,1,3.0,clear sky
222,Hofn,IS,64.2539,-15.2082,43.95,74,50,5.46,scattered clouds
223,Salina,US,38.8403,-97.6114,97.02,21,1,8.01,clear sky
224,Dawlatabad,AF,36.4141,64.9053,75.7,23,0,11.1,clear sky
225,Kuching,MY,1.55,110.3333,77.22,94,40,0.0,thunderstorm
226,Wonthaggi,AU,-38.6044,145.5913,42.71,85,6,6.35,clear sky
227,Bodden Town,KY,19.2833,-81.25,87.8,66,40,7.81,scattered clouds
228,Moerai,PF,-22.4333,-151.3333,75.56,87,100,11.48,overcast clouds
229,Port-Gentil,GA,-0.7193,8.7815,78.76,83,75,11.5,broken clouds
230,Nouadhibou,MR,20.931,-17.0347,73.38,78,27,17.27,scattered clouds
231,Buin,CL,-33.7333,-70.75,78.06,31,83,7.31,broken clouds
232,Chicama,PE,-7.8447,-79.1469,61.34,60,19,10.56,few clouds
233,Fayetteville,US,35.0527,-78.8784,81.12,36,1,5.01,clear sky
234,The Valley,AI,18.217,-63.0578,87.1,70,40,9.22,scattered clouds
235,Bethel,US,41.3712,-73.414,72.36,54,20,8.05,few clouds
236,Kingisepp,RU,59.3733,28.6134,44.76,94,8,4.29,clear sky
237,Georgetown,MY,5.4112,100.3354,76.95,95,40,2.3,light rain
238,Milyutinskaya,RU,48.6279,41.6679,52.9,69,7,15.3,clear sky
239,Wolfville,CA,45.0835,-64.3655,71.17,94,100,8.05,overcast clouds
240,Madaoua,NE,14.073,5.96,94.24,14,10,4.85,clear sky
241,Arlit,NE,18.7369,7.3853,93.78,10,0,14.88,clear sky
242,Tiruchchendur,IN,8.4833,78.1167,81.32,77,100,9.57,overcast clouds
243,Kumta,IN,14.4167,74.4,78.44,88,100,6.08,overcast clouds
244,Hendersonville,US,36.3048,-86.62,81.34,40,6,1.01,clear sky
245,Nicoya,CR,10.1483,-85.452,85.55,78,100,3.18,overcast clouds
246,Panjakent,TJ,39.4952,67.6093,73.2,16,0,5.75,clear sky
247,Turbat,PK,26.0023,63.044,86.52,47,22,3.56,few clouds
248,Pedasi,PA,7.5333,-80.0333,82.02,75,100,1.57,overcast clouds
249,Farmington,US,36.7281,-108.2187,71.1,44,75,5.75,broken clouds
250,Hithadhoo,MV,-0.6,73.0833,82.89,72,100,16.24,overcast clouds
251,Praia Da Vitoria,PT,38.7333,-27.0667,69.76,88,75,20.92,broken clouds
252,Manga,BF,11.6636,-1.0731,84.22,51,7,5.41,clear sky
253,Kodinsk,RU,58.6881,99.1844,35.22,98,100,4.32,overcast clouds
254,Longyearbyen,SJ,78.2186,15.6401,37.24,93,75,5.75,light intensity drizzle rain
255,Najran,SA,17.4924,44.1277,83.05,19,10,5.5,clear sky
256,Robe,AU,-37.1833,139.75,46.8,72,64,13.35,broken clouds
257,Vayalar,IN,9.7,76.3333,76.98,86,86,7.61,overcast clouds
258,Berbera,SO,10.4396,45.0143,93.58,42,63,5.61,broken clouds
259,Nago,JP,26.5881,127.9761,82.56,85,63,7.18,broken clouds
260,Saint-Ambroise,CA,48.5501,-71.3324,61.34,92,100,6.15,overcast clouds
261,Poum,NC,-20.2333,164.0167,71.65,70,69,8.14,broken clouds
262,Saint-Philippe,RE,-21.3585,55.7679,71.19,88,55,13.96,light rain
263,Mbuji-Mayi,CD,-6.15,23.6,79.66,51,98,0.89,overcast clouds
264,Korla,CN,41.7597,86.1469,63.66,26,0,3.49,clear sky
265,Esmeraldas,BR,-19.7625,-44.3139,89.71,22,93,4.76,overcast clouds
266,Havelock,US,34.8791,-76.9013,80.02,52,1,3.0,clear sky
267,Labytnangi,RU,66.6572,66.4183,29.77,84,41,4.61,scattered clouds
268,Padang,ID,-0.9492,100.3543,76.14,95,100,2.26,overcast clouds
269,Auki,SB,-8.7676,160.7034,76.55,88,100,3.42,overcast clouds
270,Zhigansk,RU,66.7697,123.3711,30.79,93,15,16.22,few clouds
271,Bac Giang,VN,21.2667,106.2,75.27,89,55,3.53,broken clouds
272,Lorengau,PG,-2.0226,147.2712,80.65,82,100,8.34,overcast clouds
273,Chemal,RU,51.4111,86.005,23.27,96,33,3.49,scattered clouds
274,Carsamba,TR,41.1989,36.7219,61.79,94,0,3.44,clear sky
275,Khani,GE,41.9563,42.9566,44.17,92,67,3.11,broken clouds
276,Kahului,US,20.8947,-156.47,83.97,79,20,18.41,few clouds
277,Laguna,US,38.421,-121.4238,83.44,54,1,5.01,clear sky
278,Basoko,CD,1.2391,23.616,70.21,94,75,2.71,broken clouds
279,Rasht,IR,37.2808,49.5832,62.42,70,0,3.22,clear sky
280,Saurimo,AO,-9.6608,20.3916,68.95,62,75,4.05,broken clouds
281,Cayenne,GF,4.9333,-52.3333,89.64,71,88,5.99,overcast clouds
282,Hobyo,SO,5.3505,48.5268,78.37,78,28,26.55,scattered clouds
283,Ofunato,JP,39.0717,141.7167,62.67,76,73,4.14,broken clouds
284,Avera,US,33.194,-82.5271,83.08,38,6,2.37,clear sky
285,Bardiyah,LY,31.7561,25.0865,73.99,57,0,7.38,clear sky
286,Vestmannaeyjar,IS,63.4427,-20.2734,43.25,81,98,5.14,overcast clouds
287,Iqaluit,CA,63.7506,-68.5145,37.13,74,75,18.99,broken clouds
288,Thunder Bay,CA,48.4001,-89.3168,67.98,49,75,11.5,broken clouds
289,Thompson,CA,55.7435,-97.8558,60.96,59,40,9.22,scattered clouds
290,Oromocto,CA,45.8351,-66.4792,67.95,94,90,3.44,moderate rain
291,Gorontalo,ID,0.5412,123.0595,74.16,84,100,2.01,overcast clouds
292,Fukue,JP,32.6881,128.8419,74.53,81,19,13.49,few clouds
293,Skibotn,NO,69.3913,20.2679,53.69,84,100,9.64,overcast clouds
294,Mnogovershinnyy,RU,53.9353,139.9242,37.42,74,76,1.59,broken clouds
295,Faranah,GN,10.0404,-10.7434,75.33,87,100,1.77,overcast clouds
296,Alugan,PH,12.2188,125.4808,77.4,88,100,5.12,overcast clouds
297,Grand Gaube,MU,-20.0064,57.6608,70.38,85,13,7.0,light rain
298,Lagoa,PT,39.05,-27.9833,67.1,72,100,24.36,overcast clouds
299,Pucara,PE,-15.9803,-71.4606,51.93,34,30,14.23,scattered clouds
300,Progreso,MX,21.2833,-89.6667,94.1,59,8,12.46,clear sky
301,Novikovo,RU,51.1537,37.8879,48.33,80,34,12.93,scattered clouds
302,Son La,VN,21.3167,103.9,66.2,98,22,1.86,few clouds
303,Raudeberg,NO,61.9875,5.1352,61.47,78,95,8.03,overcast clouds
304,Bangkalan,ID,-7.0455,112.7351,80.55,80,16,4.65,few clouds
305,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,34.39,100,0,6.71,clear sky
306,Moose Factory,CA,51.2585,-80.6094,55.4,67,90,9.22,overcast clouds
307,Iquitos,PE,-3.7481,-73.2472,89.64,51,40,3.44,scattered clouds
308,Fuerte Olimpo,PY,-21.0415,-57.8738,106.21,15,28,5.5,scattered clouds
309,Lulea,SE,65.5842,22.1547,48.81,89,97,10.04,overcast clouds
310,Deputatskiy,RU,69.3,139.9,27.52,87,100,20.11,overcast clouds
311,Marshall,US,34.3834,-86.3333,81.39,60,40,3.0,scattered clouds
312,Honiara,SB,-9.4333,159.95,76.95,87,100,4.32,light rain
313,Hamilton,US,39.1834,-84.5333,77.61,40,1,1.99,clear sky
314,Paralimni,CY,35.0375,33.9833,73.89,56,0,5.01,clear sky
315,Roma,US,43.2128,-75.4557,69.84,48,40,1.99,scattered clouds
316,Navahrudak,BY,53.6,25.8333,44.96,84,5,4.79,clear sky
317,Hirado,JP,33.3597,129.5531,72.39,84,22,14.85,few clouds
318,Ketchikan,US,55.3422,-131.6461,50.47,81,90,6.91,overcast clouds
319,Vanino,RU,49.0869,140.2543,49.19,76,98,3.89,overcast clouds
320,Paragominas,BR,-2.9667,-47.4833,86.58,49,100,1.36,overcast clouds
321,Broome,US,42.2506,-75.833,67.17,62,75,1.99,broken clouds
322,Machacamarca,BO,-18.1667,-67.0333,63.77,9,0,9.6,clear sky
323,Namibe,AO,-15.1961,12.1522,63.43,83,46,6.98,scattered clouds
324,Xai-Xai,MZ,-25.0519,33.6442,72.07,80,0,11.45,clear sky
325,Katy,US,29.7858,-95.8244,88.72,46,85,3.0,overcast clouds
326,Tuatapere,NZ,-46.1333,167.6833,34.41,85,7,4.18,clear sky
327,Imeni Poliny Osipenko,RU,52.4201,136.4853,46.81,90,100,0.43,overcast clouds
328,Bagotville,AU,-28.9833,153.4167,58.82,69,100,9.93,overcast clouds
329,Havoysund,NO,70.9963,24.6622,49.08,81,100,8.5,light rain
330,Sobolevo,RU,54.4299,31.8996,44.29,95,14,10.83,few clouds
331,Salalah,OM,17.0151,54.0924,84.29,84,75,9.22,broken clouds
332,Sao Jose Do Rio Pardo,BR,-21.5956,-46.8886,81.16,51,98,13.53,overcast clouds
333,Livingston,GB,55.9029,-3.5226,62.28,82,40,11.5,scattered clouds
334,Thessalon,CA,46.2501,-83.5666,66.96,74,100,11.34,overcast clouds
335,Samarai,PG,-10.6167,150.6667,79.02,87,24,13.56,few clouds
336,Guerrero Negro,MX,27.9769,-114.0611,75.15,60,6,15.12,clear sky
337,Omboue,GA,-1.5746,9.2618,76.82,85,96,7.87,overcast clouds
338,Homa Bay,KE,-0.5273,34.4571,69.48,82,100,7.18,overcast clouds
339,Whitehorse,CA,60.7161,-135.0538,38.17,70,75,4.0,broken clouds
340,Te Anau,NZ,-45.4167,167.7167,30.9,92,15,1.21,few clouds
341,Kitimat,CA,54.0524,-128.6534,55.78,29,100,1.99,light rain
342,Cap Malheureux,MU,-19.9842,57.6142,70.47,85,12,7.0,light rain
343,Revelstoke,CA,50.9832,-118.2023,64.42,72,75,3.44,broken clouds
344,Nushki,PK,29.5542,66.0215,79.11,14,0,2.98,clear sky
345,Tutoia,BR,-2.7619,-42.2744,85.98,72,17,14.94,few clouds
346,Kavieng,PG,-2.5744,150.7967,81.25,79,100,6.78,light rain
347,Mayumba,GA,-3.432,10.6554,75.72,88,56,5.01,broken clouds
