City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
510,Cedral,MX,76.66,overcast clouds,23.8,-100.7333,Hotel Rocio
512,Wanning,CN,78.64,few clouds,18.8003,110.3967,Paradise Hotel
513,Merauke,ID,76.23,broken clouds,-8.4667,140.3333,
514,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
515,Jizan,SA,88.74,clear sky,17.3333,42.6667,شهدان. ابوالحجر
517,Puerto Ayacucho,VE,86.79,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
520,Mwinilunga,ZM,75.79,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
521,Sur,OM,83.98,clear sky,22.5667,59.5289,Sur Plaza Hotel
525,Phan Thiet,VN,76.57,scattered clouds,10.9333,108.1,Hotel Saigon-PT
526,Padre Bernardo,BR,80.31,overcast clouds,-15.35,-48.5,
528,Kutum,SD,75.54,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
531,San Patricio,US,89.06,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
533,Kapoeta,SS,78.62,light rain,4.7717,33.5903,Eastgate Hotel
534,Zhuhai,CN,84.06,light rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
535,Salaga,GH,75.09,overcast clouds,8.5508,-0.5188,Bore Nada Guest House
539,Ewa Beach,US,87.75,clear sky,21.3156,-158.0072,Uncle Junior Robert
541,Mufumbwe,ZM,75.94,broken clouds,-13.6833,24.8,
543,Kontagora,NG,76.87,broken clouds,10.3999,5.4695,Queens Guest Inn
544,La Grande,US,77.58,clear sky,45.3246,-118.0877,Travelodge by Wyndham La Grande
546,Behbahan,IR,79.92,clear sky,30.5959,50.2417,شهرکدامداران ماهشهر
549,Pitimbu,BR,79.39,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
550,Lazaro Cardenas,MX,86.52,overcast clouds,17.9583,-102.2,quinta antigua
554,Grand Forks,US,78.53,clear sky,47.9417,-97.4337,Warrior Inn
555,Tamiahua,MX,84.34,broken clouds,21.2667,-97.45,Mission Of The Sun Hotel
557,Kilindoni,TZ,76.08,clear sky,-7.9139,39.6668,Bustani B&B
558,San Juan De Uraba,CO,85.68,overcast clouds,8.7592,-76.5297,Hotel Cerro De Zumba
565,Anloga,GH,79.02,light rain,5.7947,0.8973,Pin Drop Hotel
566,High Rock,BS,84.22,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
